frame_id,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,posture,action
49,8,1114,310,1198,543,prone lying,normal
50,1,543,404,892,547,standing,normal
50,2,936,291,1166,429,prone lying,normal
50,3,934,392,1147,563,side lying,normal
50,4,904,508,1112,627,side lying,normal
50,5,1000,170,1183,253,standing,diet
50,6,742,516,997,662,side lying,normal
50,7,615,17,945,199,side lying,normal
50,8,1114,310,1198,543,prone lying,normal
51,1,541,405,892,548,standing,normal
51,2,936,291,1166,429,prone lying,normal
51,3,934,392,1147,563,side lying,normal
51,4,904,507,1112,627,side lying,normal
51,5,1000,170,1183,253,standing,diet
51,6,742,517,996,662,side lying,normal
51,7,615,17,945,199,side lying,normal
51,8,1114,310,1198,543,prone lying,normal
52,1,538,405,891,549,standing,normal
52,2,937,291,1165,428,prone lying,normal
52,3,934,392,1146,563,side lying,normal
52,4,905,507,1111,627,side lying,normal
52,5,1000,170,1183,253,standing,diet
52,6,742,518,996,661,side lying,normal
52,7,615,17,945,199,side lying,normal
52,8,1114,310,1198,543,prone lying,normal
53,1,535,406,890,550,standing,normal
53,2,937,291,1165,428,prone lying,normal
53,3,934,392,1146,563,side lying,normal
53,4,905,507,1111,627,side lying,normal
53,5,1000,170,1183,253,standing,diet
53,6,742,518,996,661,side lying,normal
53,7,615,17,945,199,side lying,normal
53,8,1114,310,1198,543,prone lying,normal
54,1,533,407,889,551,standing,normal
54,2,937,291,1165,427,prone lying,normal
54,3,934,392,1146,562,side lying,normal
54,4,904,507,1111,627,side lying,normal
54,5,1000,170,1183,253,standing,diet
54,6,742,519,996,661,side lying,normal
54,7,615,17,945,199,side lying,normal
54,8,1114,310,1198,543,prone lying,normal
55,1,530,407,888,551,standing,normal
55,2,936,291,1165,427,prone lying,normal
55,3,934,392,1146,562,side lying,normal
55,4,905,507,1111,627,side lying,normal
55,5,1000,170,1183,253,standing,diet
55,6,742,517,998,661,side lying,normal
55,7,615,17,945,199,side lying,normal
55,8,1114,310,1198,543,prone lying,normal
56,1,528,408,887,552,standing,normal
56,2,936,291,1165,427,prone lying,normal
56,3,934,392,1146,562,side lying,normal
56,4,904,507,1111,627,side lying,normal
56,5,1000,170,1183,253,standing,diet
56,6,742,517,999,661,side lying,normal
56,7,615,17,945,199,side lying,normal
56,8,1114,310,1198,543,prone lying,normal
57,1,526,408,885,553,standing,normal
57,2,936,291,1165,427,prone lying,normal
57,3,934,392,1145,562,side lying,normal
57,4,904,507,1111,627,side lying,normal
57,5,1000,170,1183,253,standing,diet
57,6,742,517,999,661,side lying,normal
57,7,615,17,945,199,side lying,normal
57,8,1114,310,1198,543,prone lying,normal
58,1,524,409,883,553,standing,normal
58,2,936,291,1165,427,prone lying,normal
58,3,934,392,1145,562,side lying,normal
58,4,904,507,1111,627,side lying,normal
58,5,1001,170,1183,253,standing,diet
58,6,742,518,999,661,side lying,normal
58,7,615,17,945,199,side lying,normal
58,8,1114,310,1198,543,prone lying,normal
59,1,521,411,880,554,standing,normal
59,2,936,291,1165,426,prone lying,normal
59,3,934,392,1145,562,side lying,normal
59,4,904,507,1111,627,side lying,normal
59,5,1001,170,1183,253,standing,diet
59,6,742,518,999,661,side lying,normal
59,7,615,17,945,199,side lying,normal
59,8,1114,310,1198,543,prone lying,normal
60,1,518,411,882,556,standing,normal
60,2,936,291,1165,426,prone lying,normal
60,3,933,391,1146,562,side lying,normal
60,4,904,507,1111,627,side lying,normal
60,5,1001,170,1183,253,standing,diet
60,6,742,518,999,661,side lying,normal
60,7,615,17,945,199,side lying,normal
60,8,1114,310,1198,543,prone lying,normal
61,1,516,412,882,557,standing,normal
61,2,935,291,1165,427,prone lying,normal
61,3,933,391,1146,562,side lying,normal
61,4,904,507,1111,627,side lying,normal
61,5,1001,170,1183,253,standing,diet
61,6,742,518,999,661,side lying,normal
